STOIC31,STOIC21,STOIC46,STOIC48,STOIC11,STOIC23,STOIC36,STOIC94,STOIC33,STOIC22,STOIC12,STOIC92,STOIC43,STOIC35,STOIC13,STOIC41,STOIC93,STOIC30,STOIC96,STOIC44,STOIC25,STOIC34,STOIC47,STOIC45,STOIC37,STOIC42,STOIC95,STOIC32,STOIC40,STOIC50,STOIC14,STOIC15,STOIC24,STOIC49,STOIC39
506363,500909,499445,482656,481978,480396,467867,462995,451622,446046,444489,425954,425807,418673,398611,367316,366633,361256,347154,325213,294355,286595,270497,261326,239045,235201,210030,207411,192739,187448,183489,183219,123041,170340,126023
17594,19919,14482,12326,12951,14456,17268,18980,13319,14270,19344,18827,16325,40906,19186,15243,18361,12768,38065,24122,51382,94350,38606,25211,54786,48807,97912,53903,74611,49711,68503,89722,173360,130543,156290
3221,1325,593,9111,945,2504,974,9795,8162,8353,1498,2984,1334,8763,6016,975,6412,43991,21708,12353,32550,1316,20556,27301,1980,4672,23291,22582,4473,103407,3900,1056,835,8702,2570
6414,6576,10059,9310,11643,6072,6487,7982,14042,16231,20057,9497,13444,23128,18792,10805,39754,2551,38236,16829,37032,39500,81568,67028,83850,79773,39564,87082,68074,31755,78904,101176,58320,56450,44357
7877,8518,11610,9477,13118,5869,7880,7581,10638,13214,17258,11770,12515,18853,18911,13050,33711,2482,36027,17106,32066,37804,72056,60308,71876,66733,37779,63343,57671,27543,72539,84441,49526,52164,37225
11178,6741,7634,4094,7047,7169,7920,7547,7213,35067,27135,9459,7301,7751,70651,4571,3776,33487,21416,17230,25207,2277,11112,17590,5253,6030,2994,10709,11070,25369,12366,7358,766,2598,2739
817,662,1007,1148,1162,1132,789,2285,649,858,3424,1254,1395,7873,1616,1784,1760,565,5929,5212,13657,34762,4145,7924,4081,6803,30016,10460,13899,18211,26413,26433,68232,47922,49971
6551,3779,4549,10362,51,13839,5188,7105,19160,6077,7205,10172,1768,13829,11995,8275,15469,11950,9226,17560,9293,34753,6277,28452,11699,11708,35442,9416,65208,11783,4938,7950,18912,41668,64753
6393,10033,12078,8750,26571,9000,8290,6113,13424,8210,18079,17132,11798,9192,14124,9642,18953,4218,10669,12795,19234,16494,22185,15404,24188,22168,20895,39563,21729,16364,49496,47613,33762,21592,26445
1576,3068,1929,2095,789,6544,1547,7796,2543,1812,4120,7346,5191,8319,892,4913,20609,2283,9126,9676,11245,6655,4993,6466,3959,6616,19647,13614,7609,11399,47637,8992,29322,20575,21543
15,9,24,48,34,18,11760,34,9,13,6,15,16489,169,12,25161,8,14414,20,16076,22,148,123,28,16312,14611,9,20,10771,117,14,6,7,32,5273
5,6,2,14,10,5,10591,15,1,2,3,3,15344,114,2,23480,0,13616,10,14558,25,67,32,25,14847,13562,12,29,10534,41,3,0,2,6,4964
3340,6077,5186,4645,4498,8548,2947,4668,11220,5012,1859,21651,2908,2743,676,15161,7296,7913,4013,8409,5337,3542,7198,14758,2007,5846,7560,10768,1713,12132,1635,1243,1125,3564,1725
237,318,114,137,166,524,8286,1722,89,98,641,787,12102,237,122,18351,3012,10397,396,12591,246,91,364,266,10944,10934,1234,752,8213,571,623,84,239,260,3858
3029,5006,4915,4685,10183,5271,3807,3995,8293,6667,6058,8570,5053,4232,4746,4316,7093,6767,6401,6931,9575,6997,10429,6777,8808,9087,10324,15778,7955,9698,16832,15192,10734,7831,9212
934,1229,245,340,200,2518,1450,9304,392,382,4104,2363,3208,834,254,1964,16565,808,1506,6434,627,172,1902,558,1886,2956,5624,4005,602,608,3160,315,1394,1514,1446
876,206,105,3126,72,3324,665,2217,4084,1711,2631,411,769,1668,44,439,7521,192,180,10433,854,5791,1015,2263,573,453,15776,524,585,738,2769,2109,1571,979,1795
1243,1439,1404,5610,1159,2756,1007,3803,4747,4561,683,4626,1495,2540,1054,3515,2568,8230,6413,4422,5927,1127,7265,8963,1117,3051,3963,5587,1293,15210,650,440,176,1941,607
1883,3866,3939,2866,3078,6300,2157,3212,4836,3068,324,12283,1975,4158,2560,9892,3028,5231,6515,7674,8841,1545,5610,8978,2147,6094,3724,8337,2314,15135,2100,1471,306,1998,1068
455,338,460,412,270,301,482,809,202,270,1007,580,803,1789,482,958,602,421,1707,1662,2910,7785,1031,1120,1405,1985,7315,1587,3387,3869,6555,6001,14453,10681,12314
1339,837,927,532,955,918,977,1027,947,4493,3531,1182,1013,1011,10092,709,460,4489,2984,2196,3289,288,1276,2285,675,827,348,1443,1387,3492,1581,914,122,298,322
40,27,26,38,12,40,4443,52,24,20,34,33,6499,94,13,9845,37,5646,37,6239,96,61,60,72,6306,5882,28,87,4191,159,48,5,20,26,2101
1373,2096,1044,1021,1220,739,1377,1254,833,1151,548,3753,787,1549,337,4181,919,1748,2531,2104,3606,306,2027,2375,762,1320,1034,2442,912,6184,455,440,229,353,409
523,1109,1146,1888,733,1556,630,2227,1584,1753,488,4692,1103,2653,325,3414,1183,3830,3289,3962,4850,452,3388,3831,1291,3037,1689,5456,871,5879,611,206,114,552,401
110,52,21,1531,85,121,104,547,382,1238,37,192,307,784,81,191,212,1504,2010,686,2432,44,1600,1934,262,322,471,1313,428,5257,126,61,40,271,215
1807,1115,1560,2292,1404,3398,1357,2236,4304,1518,1757,2672,1588,1708,2127,2117,2172,3270,1433,2301,1208,3205,1002,2967,1716,1592,3418,1101,4944,1437,970,946,1744,3164,5118
58,57,38,83,70,125,2264,411,69,68,120,520,3300,112,46,4892,525,3088,149,3552,146,57,177,123,3236,3020,194,239,2219,503,127,24,33,65,1151
214,80,43,1988,106,567,82,1731,1275,1218,71,615,572,467,291,337,872,2582,2082,948,1937,225,1353,3715,325,575,1258,1559,365,3795,161,55,22,405,115
140,55,27,1852,301,104,56,647,157,582,63,88,348,632,55,168,317,1799,1418,618,2235,20,949,2782,129,248,406,1233,245,3653,61,55,18,366,65
32,6,7,71,50,45,1494,159,49,179,180,68,2197,80,27,3290,329,1818,138,2031,246,36,145,250,1884,2013,304,431,1558,411,33,115,17,15,673
316,211,470,348,3266,327,281,914,521,310,407,788,413,245,1988,256,477,302,551,289,291,297,561,245,365,279,421,410,229,476,463,359,97,259,160
63,115,66,490,295,318,106,880,184,461,64,373,260,593,171,501,315,1072,873,1419,837,27,1121,1046,221,309,245,901,228,2697,282,83,42,209,104
110,119,61,1187,89,84,119,703,116,1420,282,33,151,567,154,130,173,839,1096,120,1292,35,1625,1743,225,178,93,779,151,2361,47,64,53,54,86
220,157,136,213,106,175,400,339,213,152,228,167,291,147,108,796,2276,165,94,1365,110,828,205,148,296,250,1617,97,187,153,200,124,160,130,187
403,823,780,367,631,631,451,392,631,209,196,2154,418,315,48,1684,471,436,404,1136,615,351,609,882,259,654,650,841,244,1220,300,188,318,407,358
13,19,16,22,20,35,792,98,27,26,16,31,1548,42,19,1698,93,1153,15,1246,12,11,83,26,1345,1097,115,12,587,61,6,12,6,19,406
293,668,834,76,654,135,444,142,121,51,24,1630,105,77,73,1447,207,202,144,219,115,71,84,217,115,149,111,128,116,229,27,36,8,49,39
470,599,474,437,221,341,482,1628,392,147,267,666,1294,351,400,454,1503,267,473,566,549,197,1024,317,501,1031,419,633,259,669,208,237,79,168,175
214,233,122,402,358,315,373,392,197,358,156,601,418,403,138,963,247,677,663,699,886,83,549,515,397,473,263,565,362,1520,121,120,62,109,168
49,9,23,766,22,73,228,148,113,268,14,35,315,153,32,488,138,797,788,579,772,21,608,548,324,433,239,591,270,1466,40,15,19,102,130
444,275,503,600,972,585,347,1423,1079,747,316,988,515,398,968,445,886,855,940,639,688,487,1019,559,432,595,700,829,306,819,414,378,192,376,250
31,32,5,37,34,83,638,133,28,46,87,50,909,44,20,1373,182,860,50,992,45,18,68,57,926,847,151,112,577,209,59,34,14,28,305
917,583,1078,880,902,543,911,880,528,571,885,894,1237,465,906,1279,604,835,683,894,363,433,458,384,879,834,387,232,492,409,448,280,253,366,378
68,42,55,99,25,135,561,84,201,28,85,113,834,64,106,1276,105,836,61,863,50,237,65,94,740,799,125,39,752,64,49,66,145,221,477
248,332,165,200,87,835,177,768,281,119,93,418,367,403,96,464,435,457,490,1154,615,93,608,310,333,1221,491,1118,194,1189,241,75,96,212,196
23,28,19,31,71,38,534,37,16,22,14,24,803,32,25,1104,19,679,16,712,51,13,85,58,762,636,46,29,462,108,25,20,10,7,265
45,38,29,153,81,74,498,53,61,67,13,45,710,56,20,1081,71,641,105,792,124,30,118,86,679,573,80,100,467,252,29,33,14,35,237
47,48,20,269,19,85,251,127,52,83,9,49,321,122,12,513,131,738,451,474,480,30,392,204,349,434,322,354,255,996,48,4,12,102,133
0,1,5,6,3,299,4,996,0,91,1,0,785,43,1,10,0,817,75,10,333,2,137,1,28,10,3,20,2,169,3,1,1,7,10
91,104,48,179,187,187,343,116,35,50,48,132,511,217,23,899,125,685,302,720,394,17,279,383,463,514,105,214,377,740,31,25,11,24,180
141,147,188,184,149,120,438,259,83,116,151,192,692,98,162,865,243,498,151,582,131,84,123,91,727,601,116,186,473,154,70,100,55,77,265
247,138,456,353,785,308,265,825,412,303,144,605,318,133,555,292,451,277,295,239,149,311,553,249,263,296,319,278,180,414,261,168,92,238,162
16,20,14,15,45,22,379,38,28,22,16,28,523,23,14,780,28,543,21,548,18,9,32,22,539,486,19,26,283,37,19,17,12,16,188
123,66,58,101,235,321,165,208,580,357,87,385,256,253,103,253,743,533,242,474,512,187,439,415,375,418,469,603,469,725,202,275,184,139,270
68,120,127,153,155,116,142,146,120,164,30,292,144,164,88,414,119,425,288,394,268,22,285,366,117,150,82,254,67,740,75,22,9,60,67
27,14,4,27,19,13,278,33,48,17,5,18,454,22,8,590,18,412,24,380,34,12,55,78,426,384,15,32,219,112,12,19,16,11,130
12,4,10,13,20,12,278,11,9,3,3,2,402,14,3,568,1,341,10,404,14,6,36,9,378,330,7,5,280,42,2,0,2,10,113
7,8,18,69,91,23,189,42,5,6,6,32,308,26,7,439,18,298,19,266,58,9,41,98,317,212,492,70,164,107,16,4,10,81,135
5,6,12,200,9,12,54,187,12,51,10,1,129,52,22,115,39,277,165,131,144,3,147,116,78,72,5,82,72,295,7,9,0,13,25
6,3,4,31,5,14,133,26,7,14,7,14,211,16,11,269,12,174,25,179,39,10,71,38,202,212,7,73,123,100,16,11,4,13,66
68,2,3,6,5,4,15,145,53,1,4,163,42,23,1,21,135,17,120,14,3,23,1,37,12,19,47,35,5,10,2,1,4,5,9