kingdom;phylum;class;order;family;genus
Archaeplastida; Streptophyta; Zygnemophyceae; Zygnematales; Ancylonema family incertae sedis; Ancylonema
SAR; Ochrophyta; Chrysophyceae; Chrysophyceae X; Chrysophyceae Clade-D; Chrysophyceae Clade-D X
Bacteria (superkingdom); Cyanobacteria; Cyanobacteriia; Leptolyngbyales; Leptolyngbyaceae; Phormidesmis ANT.L52.6
Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales; Chlamydomonadales XX; Chlamydomonadales XX sp.
Archaeplastida; Chlorophyta; Chlorophyceae; Chlamydomonadales; Chloromonas; Chloromonas polyptera genus incertae sedis
Bacteria (superkingdom); Cyanobacteria; Cyanobacteriia; Cyanobacteriales; Nostocaceae; Scytonema UTEX 2349
SAR; Ochrophyta; Chrysophyceae; Chrysophyceae X; Chrysophyceae XX; Chrysophyceae XXX
SAR; Ciliophora; Oligohymenophorea; Frontoniidae 2; Frontoniidae 2 X; Frontoniidae 2 X sp.
Amorphea; Basidiomycota; Microbotryomycetes; Chrysozymaceae order incertae sedis; Chrysozymaceae; Oberwinklerozyma
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Cytophagales; Hymenobacteraceae; Hymenobacter
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Cytophagales; Spirosomaceae; Arcicella
Bacteria (superkingdom); Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Granulicella
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Limnohabitans
Amorphea; Ascomycota; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae; Cladophialophora
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Polaromonas
SAR; Ciliophora; Litostomatea; Rhynchostomatia; Dileptidae; Dileptidae X
Bacteria (superkingdom); Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidiphilium
Bacteria (superkingdom); Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Parafrigoribacterium
SAR; Ochrophyta; Chrysophyceae; Chrysophyceae X; Chrysophyceae Clade-F; Monas
Bacteria (superkingdom); Cyanobacteria; Cyanobacteriia; Leptolyngbyales; Leptolyngbyaceae; Chamaesiphon PCC-7430
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Cytophagales; Spirosomaceae; Flectobacillus
Bacteria (superkingdom); Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Polymorphobacter
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Solitalea
Bacteria (superkingdom); Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus Solibacter
SAR; Ciliophora; Oligohymenophorea; Parameciidae; Paramecium family incertae sedis; Paramecium
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Sphaerotilus
Bacteria (superkingdom); Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Tundrisphaera
Bacteria (superkingdom); Armatimonadota; Chthonomonadetes; Chthomonadales; Chthonomonadaceae; Chthonomonas
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia
Amorphea; Ascomycota; Dothideomycetes; Venturiales; Venturiaceae; Venturia
Bacteria (superkingdom); Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; hgcI clade
Bacteria (superkingdom); Cyanobacteria; Cyanobacteriia; Pseudanabaenales; Pseudanabaenaceae; Pseudanabaena PCC-7429
SAR; Ciliophora; Litostomatea; Litostomatea X; Litostomatea XX; Litostomatea XXX
Bacteria (superkingdom); Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Terriglobus
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter
Bacteria (superkingdom); Actinobacteriota; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia
SAR; Cercozoa; Filosa-Sarcomonadea; Cercomonadida; Cercomonadidae; Cercomonas
Bacteria (superkingdom); Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Rhizorhapis
Bacteria (superkingdom); Myxococcota; Polyangia; Polyangiales; Phaselicystidaceae; Phaselicystis
Amorphea; Ascomycota; Sordariomycetes; Coniochaetales; Coniochaetaceae; Coniochaeta
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Undibacterium
SAR; Ciliophora; Heterotrichea; Stentoridae order incertae sedis; Stentoridae; Stentor
SAR; Ciliophora; Phyllopharyngea; Cyrtophoria 8; Dysteriidae; Trochilia
Bacteria (superkingdom); Deinococcota; Deinococci; Deinococcales; Deinococcaceae; Deinococcus
Bacteria (superkingdom); Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcaceae; Romboutsia
Bacteria (superkingdom); Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium
Bacteria (superkingdom); Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Pajaroellobacter
Amorphea; Rotifera; Bdelloidea (Rotifera); Adinetida; Adinetidae; Adineta
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Ferruginibacter
Hacrobia; Cryptophyta; Cryptophyceae; Goniomonadales; Goniomonadales X; Goniomonas
Amorphea; Ascomycota; Dothideomycetes; Pleosporales; Leptosphaeriaceae; Neophaeosphaeria
Bacteria (superkingdom); Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; Nitrosomonas
Bacteria (superkingdom); Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsia
Bacteria (superkingdom); Actinobacteriota; Actinobacteria; Frankiales; Nakamurellaceae; Nakamurella
Bacteria (superkingdom); Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae; Nitrospira
Bacteria (superkingdom); Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; SH3-11
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Cytophagales; Cytophagaceae; Cytophaga
Bacteria (superkingdom); Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; Fimbriiglobus
Bacteria (superkingdom); Bacteroidota; Bacteroidia; Cytophagales; Spirosomaceae; Runella
Amorphea; Basidiomycota; Agaricomycetes; Cantharellales; Tulasnellaceae; Tulasnella