SEQUENCEFILE,FULLNAME,TYPE,DAY,DAYOFYEAR,NAME,SITE,RUN,STORAGE,libraryprep
KATIE25,0801ICE5,ice,801,213,ICE5,6,0,20,18.12.22
STOIC32,0805ICE2,ice,805,217,ICE2,2,0,20,18.12.22
STOIC45,0810ICE5,ice,810,222,ICE5,5,0,20,18.12.22
STOIC11,0728ICE1,ice,728,209,ICE1,1,2,80,19.07.23
STOIC12,0728ICE2,ice,728,209,ICE2,2,1,80,19.07.23
STOIC13,0728ICE3,ice,728,209,ICE3,3,2,80,19.07.23
STOIC14,0728ICE4,ice,728,209,ICE4,4,1,80,19.07.23
STOIC15,0728ICE5,ice,728,209,ICE5,5,2,80,19.07.23
STOIC21,0801ICE1,ice,801,213,ICE1,1,3,20,14.09.23
STOIC22,0801ICE2,ice,801,213,ICE2,2,1,80,25.07.23
STOIC23,0801ICE3,ice,801,213,ICE3,3,2,80,25.07.23
STOIC24,0801ICE4,ice,801,213,ICE4,4,1,80,25.07.23
STOIC25,0801ICE5,ice,801,213,ICE5,5,2,80,25.07.23
STOIC30,0807ICE3,ice,807,219,ICE3,3,2,80,02.08.23
STOIC31,0805ICE1,ice,805,217,ICE1,1,1,80,25.07.23
STOIC33,0805ICE3,ice,805,217,ICE3,3,2,80,25.07.23
STOIC34,0805ICE4,ice,805,217,ICE4,4,1,80,25.07.23
STOIC35,0805ICE5,ice,805,217,ICE5,5,2,80,25.07.23
STOIC36,0807ICE1,ice,807,219,ICE1,1,2,80,02.08.23
STOIC37,0807ICE2,ice,807,219,ICE2,2,1,80,02.08.23
STOIC39,0807ICE4,ice,807,219,ICE4,4,1,80,02.08.23
STOIC40,0807ICE5,ice,807,219,ICE5,5,2,80,02.08.23
STOIC41,0810ICE1,ice,810,222,ICE1,1,1,80,02.08.23
STOIC42,0810ICE2,ice,810,222,ICE2,2,2,80,02.08.23
STOIC43,0810ICE3,ice,810,222,ICE3,3,1,80,02.08.23
STOIC44,0810ICE4,ice,810,222,ICE4,4,2,80,02.08.23
STOIC46,0813ICE1,ice,813,225,ICE1,1,1,80,09.08.23
STOIC47,0813ICE2,ice,813,225,ICE2,2,2,80,09.08.23
STOIC48,0813ICE3,ice,813,225,ICE3,3,1,80,09.08.23
STOIC49,0813ICE4,ice,813,225,ICE4,4,2,80,09.08.23
STOIC50,0813ICE5,ice,813,225,ICE5,5,1,80,09.08.23
STOIC92,0818ICE1,ice,818,230,ICE1,1,1,80,11.08.23
STOIC93,0818ICE2,ice,818,230,ICE2,2,2,80,11.08.23
STOIC94,0818ICE3,ice,818,230,ICE3,3,1,80,11.08.23
STOIC95,0818ICE4,ice,818,230,ICE4,4,2,80,11.08.23
STOIC96,0818ICE5,ice,818,230,ICE5,5,1,80,11.08.23